Character,Line,Episode
Finn,  Lay it on us!,Simon and Marcy
Jake,"  Yeah, lay it out, Marcy!",Simon and Marcy
Ice King,"  Yeah! Lay down, Marceline, go to sleep! Right? What are we talking about?",Simon and Marcy
Marceline,"  Alright, I suppose it's about time I told someone this story.",Simon and Marcy
Action, [Time card ON THIS DAY 996 YEARS AGO],Simon and Marcy
Simon,  Huh.,Simon and Marcy
Marcy,  Hmmmmmm...,Simon and Marcy
Simon,"  [He stops at a deserted mailbox] Ha-ha! Might be something in here, Marceline!",Simon and Marcy
Marcy,  [Laughing] E-e-ewww! It's a dead rat!,Simon and Marcy
Simon,"  Hey! Yeah, so it is, looks like we've got a cute new traveling buddy.",Simon and Marcy
Marcy,"  Ewww, noooooooo!!",Simon and Marcy
Simon,  [Giggling a bit] It's kinda cute... [He closes the mailbox chute and continues walking with Marceline.],Simon and Marcy
Simon,"  [Points to a VHS tape on the ground] Hey, check it out, it's a VHS tape. You wanna watch a movie?",Simon and Marcy
Marcy,  Yeah!,Simon and Marcy
Action, [They both stare at the tape for a while.],Simon and Marcy
Simon,"  ...Man, this is a boring movie.",Simon and Marcy
Action, [Marcy giggles.],Simon and Marcy
Simon,  I like the book much better! [He throws the tape behind him and they both laugh.],Simon and Marcy
Marcy,"  You're so silly, Simon!",Simon and Marcy
Simon,"  He-he-he, yeah, I suppose so... Huh?",Simon and Marcy
Action, [A rustling noise is heard in the bushes..],Simon and Marcy
Marcy,  What is that?   ,Simon and Marcy
Simon,"  I'm not sure, but it's coming our way. Come on. [They run over to a car.] Marcy, you stay in the car. I'll be right back.",Simon and Marcy
Marcy,  Simon! [pulls on his beard],Simon and Marcy
Simon,"  Ow, ow, ow, ow, ow!",Simon and Marcy
Marcy,"  You're not going to put it on, are you?",Simon and Marcy
Simon,  I have to. To protect us.,Simon and Marcy
Marcy,  But you're gonna act weird again!,Simon and Marcy
Simon,"  Don't worry, I can control it better now.",Simon and Marcy
Marcy,  [Cringes] Mmm...,Simon and Marcy
Simon,"  It's okay! B.R.B. [He kisses Marcy on the forehead. He pulls his head out of the window. The object rustling in the woods comes closer.] Oh, boy. Here it comes. Oh, bread balls. Oh, bread balls! OH, BREAD BALLS! [puts on his crown. His nose and hair and beard grow., starts laughing maniacally] I call upon the power of ice and snow!! Ice winds, blow!!! [Icy cold wind shoots at a deer which flies out of the bushes and lands perfectly on its feet. It looks around confused.] Rragh! YOU WILL NO LONGER TERRIFY A 47-YEAR-OLD MAN AND A 7-YEAR-OLD GIRL! [Zaps ice at the deer. A ball forms around the deer. It becomes frozen. Marcy gasps. Simon continues laughing.]",Simon and Marcy
Marcy,"  [gets out of the car] Simon, stop! It's frozen!",Simon and Marcy
Simon,"  Not now, Gunther, I'm doing big people things. Come play in the snow, build me a snowman. [Sprinkles some snow on Marcy.]",Simon and Marcy
Marcy,  Bleh! [Simon continues zapping the deer. The ball becomes frozen with the deer inside it. Marcy gasps. She creates a snowball and throws it at Simon's crown.],Simon and Marcy
Simon,  Ha-ha-ha-ha-ha-- Huh? [The crown falls off and he suddenly hits the ground on his head. Marcy rushes over.],Simon and Marcy
Marcy,"  Simon! Simon, are you okay?!",Simon and Marcy
Simon,  Uh...uh...yeah.,Simon and Marcy
Marcy,"  You're getting worse, Simon. Your hair and your nose are longer, and you started to hover in the air!",Simon and Marcy
Simon,"  Oh, yeah. Did I look pretty...FLY?! [starts to laugh]",Simon and Marcy
Marcy,  What are you talking about? You're scaring me.,Simon and Marcy
Simon,  [continues laughing. His hair and nose grow back to normal.] I'm sorry. Did I say something?,Simon and Marcy
Marcy,"  Simon, promise me you won't put it on again.",Simon and Marcy
Simon,  [looks down] OK. I promise.,Simon and Marcy
Marcy,  What is that thing?,Simon and Marcy
Simon,  It's a deer.,Simon and Marcy
Action, [Simon and Marcy walk over to the frozen deer. The looks around and breathes heavily two times],Simon and Marcy
Marcy,"  If there are deers in the forest, do you think there are other things?",Simon and Marcy
Simon,  [eyes widen] I don't know. [cuts to Simon and Marcy roasting food] Hm... [whistles a tune. He sets a broken television upright] Uhh! This is gonna be good. It's gonna be worth it. [crouches behind the T.V.] Use the remote to turn on the T.V. [throws a soda can to Marcy],Simon and Marcy
Action, [Marcy makes a clicking sound and pretends to hit the remote's ON button on the soda can],Simon and Marcy
Simon,"  [sings the piano intro to Cheers theme song] [Singing] ♪ Making your way in the world today, takes everything you got. ♪",Simon and Marcy
Marcy,  [looks confused],Simon and Marcy
Simon,"  ♪ Taking a break from all your worries, sure would help a lot. Sometimes you want to go, where everybody knows your name! ♪",Simon and Marcy
Marcy,  What is this?,Simon and Marcy
Simon,  Filmed before a live studio audience. [makes a squeaking noise] Norm!,Simon and Marcy
Marcy,  Mute.,Simon and Marcy
Action, [Simon moves his mouth without talking],Simon and Marcy
Marcy,  [laughs and then starts coughing],Simon and Marcy
Simon,"  [looks at Marcy] Marcy...? [puts his hand on Marcy's forehead. He gasps.] Oh, no... Uh, you're fine. Just a bit warm, but you should get some sleep. [Marcy is snoring]",Simon and Marcy
Action, [Morning],Simon and Marcy
Action, [Marcy coughs which wakes up Simon],Simon and Marcy
Marcy,  Hey! Good morning! I made you breakfast! It's mostly pine needles and deer guts.,Simon and Marcy
Simon,"  [lowering his voice] Oh, you're even worse. [Normal voice] I mean, don't freak out or anything, but we need to get you some... chicken soup! [packs up the sleeping bag] There you go. [to Marcy] There must've been a soupery in that town, but I don't want you walking all... [spots a motorcycle] ...that way. [both are on the motorcycle] Okay. You ready for a motorbike ride?",Simon and Marcy
Marcy,  Mmm-hmm.,Simon and Marcy
Action, [Motorbike sounds],Simon and Marcy
Simon,"  Okay, now we're talking. [pants] Just needs a little love-- [loses grip from the motorbike because he goes to fast]",Simon and Marcy
Marcy,  AAH!,Simon and Marcy
Simon,  WOWZERS! [tries to catch it as it goes away but it hits a wall],Simon and Marcy
Simon,"  Okay, let's try something else.",Simon and Marcy
Action, [Marcy is seen riding a computer chair while Simon's pushing it],Simon and Marcy
Simon,"  Hey, Marcy, I wrote a song for you. [sings The Soup Hunting Song]",Simon and Marcy
Marcy,  [laughs] Your songs are sooo good.,Simon and Marcy
Simon,"  Here we go! [tries to open the door] Aw, it's locked. [throws the chair into the window] Vandalism is wrong, Marcy.",Simon and Marcy
Marcy,  Okay.,Simon and Marcy
Simon,"  Oh, everything's gone... except for these greeting cards. [looks at the card. It says, ""HEY OLD MAN..."" He turns the page. ""...Have a 'soup-er' 'broth'-day! ('birthday')""] Aw...",Simon and Marcy
Marcy,"  Simon, look! [points at the security mirror]",Simon and Marcy
Action, [Simon looks at the security mirror; there is something at the other aisle],Simon and Marcy
Simon,   [gets down then gasps] What is that thing? This-This is bad.,Simon and Marcy
Action, [scene is at the crown],Simon and Marcy
Marcy,  No.,Simon and Marcy
Simon,  I have to protect us.,Simon and Marcy
Marcy,  No!,Simon and Marcy
Action, [The mutant hears this then it goes toward Simon and Marcy],Simon and Marcy
Simon,  I have to.,Simon and Marcy
Marcy,"  No, don't put it on!",Simon and Marcy
Simon,"  Marcy, stay back! [knocks mutant out with the crown. He presses on the mutant then green goo comes out]",Simon and Marcy
Simon/Marcy,  Aah!,Simon and Marcy
Simon,  We're getting out of here!,Simon and Marcy
Action, [Scene switches. Simon and Marcy are walking through a large concrete storm-drain],Simon and Marcy
Marcy,  [steps on a remote] Oops.,Simon and Marcy
Simon,"  Hey, little lady, what about a ride on an old man's back?",Simon and Marcy
Marcy,"  I can walk. I'm not a child, Simon.",Simon and Marcy
Simon,"  Look, sweetie, someday you'll be too big to hold. I'm as old as garlic balls, and if someone offered to pick me up and carry me, I'd do it in a heartbeat. Take it when you can get it. [Carries Marcy then she sneezes on his face and laughs]",Simon and Marcy
Simon,  Gross. [wipes it away] You're gross.,Simon and Marcy
Marcy,"  You're gross, Simon.",Simon and Marcy
Simon,"  We're both gross, darling. [Gasps then sees something at the top of the bridge, then walks near the bridge] A food truck! Might be chicken soup inside there. [He climbs to the top of the bridge] Alright, now to get some chicken soup inside you--[inside it are clams] Clams? [closes one door of the truck to see what name it is] The Clambulance?! No, I need chicken! Marceline, cover your ears! MOTHER, MOTHER, MOTHER, MOTHER, MOTHER, MOTHER, MOTHER, MOTHER! [starts kicking the door of the truck while saying this, then a mutant appears under the truck and grabs Simon's leg]",Simon and Marcy
Simon/Marcy,"  [gasps, then Simon kicks the mutant away then a mutant came out hiding at the Clambulance]",Simon and Marcy
Simon,"  [Frightened] Mother, Mother! [Simon shuts the door; he starts pushing it off the bridge] [Straining] Mother, Mother, Mother, Mother, Mother, Mother, Mother, Mother, Mother...! [it falls and it repeatedly says ""Clambulance"" while the sirens make some noise, then from another bridge mutants hear it and begin to chase them]",Simon and Marcy
Marcy,"  What are we gonna do, Simon?",Simon and Marcy
Simon,  We're gonna run! [runs and jumps to a tree with pink substance; they stick to it],Simon and Marcy
Marcy,  Whoa!,Simon and Marcy
Simon,"  Come on, come on, come on!!",Simon and Marcy
Action," [They fall down but the bag is stuck to the tree. They still run while being chased by mutants, then a mutant came close to them.]",Simon and Marcy
Simon,"  Mama, mama, mama, mama, mama mia!",Simon and Marcy
Action, [he hits the mutant with a pillow.],Simon and Marcy
Action," [They run to a dark alley, then they are at a dead end]",Simon and Marcy
Marcy,"  Our butts are grass, right? ",Simon and Marcy
Action, [Simon puts Marcy in the car],Simon and Marcy
Simon,  Not yet.,Simon and Marcy
Marcy,  Don't leave me here Simon! I can fight!,Simon and Marcy
Action, [Pats bicep],Simon and Marcy
Simon,  I'm sorry Marcy.,Simon and Marcy
Marcy,  Simon!,Simon and Marcy
Action, [Simon closes the car door],Simon and Marcy
Simon, You have to keep it together Simon... for her.,Simon and Marcy
Marcy,  Simon you promised.,Simon and Marcy
Simon,"  [Simon puts on the crown, as he does he starts singing the theme song from Cheers]",Simon and Marcy
♪ Makin' your way in the world today takes everything you've got! ♪,,Simon and Marcy
Action, [Blasts mutants with snow across the alleyway],Simon and Marcy
♪ Taking a break from all your worries,,Simon and Marcy
SURE WOULD HELP A LOT!!,,Simon and Marcy
WOULDN'T IT BE NICE TO GET AWAY!,,Simon and Marcy
Where everybody knows your name. Where everybody... ♪,,Simon and Marcy
Action," [Simon smacks the crown off his head, and sees a can of chicken soup and a pocketknife fall from the pink substance. He runs to it to take it, but then notices it has a face, but he quickly runs back to the car to give Marceline the soup]",Simon and Marcy
Simon,  Marcy! Look I-I found chicken soup! Your gonna feel awesome in a moment.,Simon and Marcy
Marcy,  I'm just glad [gulp] you're ok.,Simon and Marcy
Simon,  Do you feel awesome? [Marcy nods her head],Simon and Marcy
Marcy,"  I love you, Simon.",Simon and Marcy
Simon,  I love you... Gunther.,Simon and Marcy
Action, [Time card 996 years later],Simon and Marcy
Jake,  Pretty heavy,Simon and Marcy
Finn,"  Whoa, mama",Simon and Marcy
Ice King,"  Whoa, so what happens next? How does it end?",Simon and Marcy
Marceline,"  Well, little Marcy felt a lot better. And she and Simon lived happily ever after. [Passes the ball to Ice King and smiles at him]",Simon and Marcy
Ice King,"  Aww, that's nice. [whispers] Marceline, you keep telling these chump stories while I score a bunch of baskets.",Simon and Marcy
Marceline,  [chuckles] Okay.,Simon and Marcy
Ice King,"  Yeah, yeah! [Ice King shouts while he dribbles basketball in and out of the hoop, while the three are smiling at him. Finn puts one of his hands on Jake's shoulder.]",Simon and Marcy
Action, [The episode ends.],Simon and Marcy
Action, [The episode begins with Finn and Jake inside the Tree Fort using the computer. Finn is using a program to make an animation of Ice King being attacked by spiders and a snake.],A Glitch is a Glitch
Jake,"  Ha-ha-ha. Okay, now make him look angrier!",A Glitch is a Glitch
Finn,"  Alright, give me a second.",A Glitch is a Glitch
Action, [Finn draws angry-looking eyebrows on Ice King],A Glitch is a Glitch
Jake,"  Nope, not funny anymore. Sorry, dude—you ruined it.",A Glitch is a Glitch
Finn,"  Man, I don't have patience for this animation junk. Whoever does this must have no life whatsoev—",A Glitch is a Glitch
Action, [Finn punches himself.],A Glitch is a Glitch
Finn,  Oof... Why did I do that?,A Glitch is a Glitch
Action," [A brick is thrown through the window, and Jake approaches it using his stretchy powers.]",A Glitch is a Glitch
Jake,"  Yo Finn, did you order a brick?",A Glitch is a Glitch
Finn,"  Hm, I don't think so.",A Glitch is a Glitch
Jake,"  [Reads the floppy disk that is taped to the brick. It says, ""Email to Finn + Jake.""] False alarm; it's just an email.",A Glitch is a Glitch
Finn,  Who's it from?,A Glitch is a Glitch
Jake,  Looks like Ice King's handwriting.,A Glitch is a Glitch
Action," [Jake inserts the disk into the computer. A video of a girl eating her hair and gagging immediately starts playing. Finn and Jake watch it, paralyzed with disgust.]",A Glitch is a Glitch
Finn and Jake,  Eeeww!,A Glitch is a Glitch
Finn,"  Escape, Jake! Escape!",A Glitch is a Glitch
Jake,"  Alright, alright, hold on. [Jake presses ESC repeatedly on the keyboard.] Oh man! Thing must've had a computer worm in it!",A Glitch is a Glitch
Action," [The computer displays a red screen and spikes emerge from it, and the computer becomes triangles.]",A Glitch is a Glitch
Finn,  Whaa? Aaaah!,A Glitch is a Glitch
Action," [Finn and Jake run scared from the computer. Scene changes to the Candy Kingdom , where Princess Bubblegum is watering flowers and the Ice King appears flying.]",A Glitch is a Glitch
Ice King,"  Hey, Princess!",A Glitch is a Glitch
Princess Bubblegum,"  What now, Ice King?",A Glitch is a Glitch
Ice King,  Remember that time last summer when you said you'd only go out on a date with me if I was the last guy on Ooo?,A Glitch is a Glitch
Princess Bubblegum,  I doubt I said that.,A Glitch is a Glitch
Action, [Finn and Jake come running and screaming hysterically.],A Glitch is a Glitch
Finn and Jake,"  P-bubs! P-bubs, P-bubs!",A Glitch is a Glitch
Finn,  The computer went...,A Glitch is a Glitch
Jake,  Open video and...,A Glitch is a Glitch
Finn,  The email...,A Glitch is a Glitch
Jake,  Potato trampoline...,A Glitch is a Glitch
Finn,  Brick window with the plastic...,A Glitch is a Glitch
Jake,  Then crashment!,A Glitch is a Glitch
Finn,  Banana hummingbird...,A Glitch is a Glitch
Jake,  47 grapes!,A Glitch is a Glitch
Ice King,  [cleans throat] Anyone having any... [robotic voice] computer problems? [A laugh track plays and stops once Ice King turns off the recorder he is holding.],A Glitch is a Glitch
Finn,"  How do we stop the computer worm, you pile of goo?!",A Glitch is a Glitch
Ice King,  E-ha-ha-ha-ha! My worm exists beyond your comprehension within the universal source code...,A Glitch is a Glitch
Finn,  STOP TALKING LIKE A NERD AND GIVE IT TO US STRAIGHT!!!,A Glitch is a Glitch
Ice King,"  Once the glitch does its work, the whole world will be deleted! Except for me and my ""Bubblygums."" [Attempts to kiss Princess Bubblegum, who moves him away with a stick and then throws it at his face.] Ow!! Well, see y'all! I'm gonna prepare for my... date. Ahaha! [Teleports away.]",A Glitch is a Glitch
Donut Guy,"  [Crashes out of the door of a house with a glitchy face, running in circles.] AAAAAHH! MY BEAUTIFUL FACE!! MY HOPES AND DREAMS—RUINED!!! [Emits beeps and runs away]",A Glitch is a Glitch
Finn,"  Don't worry, Princess, we'll take care of this thing.",A Glitch is a Glitch
Princess Bubblegum,"  Oh, me too. [Loads her candy horse tranquilizer] I'm gonna take care of it, too. [Slowly walks away]",A Glitch is a Glitch
Finn,  Okay! [Runs away with Jake],A Glitch is a Glitch
Action, [The scene changes to a street within the Kingdom with a glitchy transition. The Candy People are seen suffering and screaming from the glitches.],A Glitch is a Glitch
Finn,"  [Grabs Mr. Cupcake] Don't worry, guy! I got you! [Mr. Cupcake disappears.] YEOW! JAKE, HELP ME!!!",A Glitch is a Glitch
Jake,"  [talking to Chocoberry] Okay, shh, you're safe! [Chocoberry's arms and legs fell apart then disappeared.]",A Glitch is a Glitch
Finn,"  Come here, guy!",A Glitch is a Glitch
Sugar Cube,  No... Stay away from me!,A Glitch is a Glitch
Finn,"  I'm trying to help you, yo!",A Glitch is a Glitch
Sugar Cube,  I saw what happened when you picked up Todd. [Fades away],A Glitch is a Glitch
Finn,"  But... No!! Jake, this isn't working! We need a plan.",A Glitch is a Glitch
Action," [Jake immediately falls asleep. 52 seconds later, almost the whole Kingdom has disappeared, including the ground and the sky. Finn slaps Jake's face, which wakes him up.]",A Glitch is a Glitch
Jake,"  Aw, man. Okay, here is my dream plan. You were wearin' tights made of green feathers. These tiny green feathers. And I was this wisecracking coelacanth that only ate popcorn. Anyway, we were in this—",A Glitch is a Glitch
Finn,  THAT PLAN'S NOT GOOD!,A Glitch is a Glitch
Action, [Finn panics and displays some emoticons on his face while Jake is talking.],A Glitch is a Glitch
Jake,"  Hold on, I'm almost done. So we were trapped inside this huge egg, and after a while you started dancing in this kind of sign language. And then Ice King's glitchy stuff started eatin' my dream up. I peed in my pants, but you went up and talked to it. You just... talked to it.",A Glitch is a Glitch
Finn,"  Then talk to it I will. [Grabs a bit of glitch static from the ground.] Hey man, tell me the haps.",A Glitch is a Glitch
Jake,"  Yeah, tell us your feelings! Get deep.",A Glitch is a Glitch
Action," [The static makes computerized noises. Subtitles appear on the screen saying ""I can't help you, goofballs,"" which happens to be in front of Finn and Jake. It appears in inverse, confusing Finn and Jake.]",A Glitch is a Glitch
Jake,"  ""Sllabfoog uoy pleh tnac I...""",A Glitch is a Glitch
Donut Guy,"  [running and screaming] OH, SWEET LORD, MY FACE! MY PERFECT...!!",A Glitch is a Glitch
Jake,"  Slaw frog yokel snacky. Snacky slaw frog yokel. Sea salt yack let a snacky. Yeah, that sounds good!",A Glitch is a Glitch
Donut Guy,  AAAAAAAAAAH...!!!,A Glitch is a Glitch
Finn,"  [Digging in the static.] Jake, I think I found a way in!",A Glitch is a Glitch
Jake,"  No, wait, dude. I think I cracked the code!",A Glitch is a Glitch
Finn,  There's no time! [Grabs Jake and enters a portal.],A Glitch is a Glitch
Jake,  AAAAAAH!!!,A Glitch is a Glitch
Finn,  AAAAH... AAH!!!,A Glitch is a Glitch
Action," [After a transition effect, Finn and Jake are teleported to the universal source code.]",A Glitch is a Glitch
Jake,  This must be the universal source code!,A Glitch is a Glitch
Action, [Finn floats to an ice crystal that contains the coding for Ice King and Princess Bubblegum.],A Glitch is a Glitch
Finn,  Huh? Ice King and Bubblegum?,A Glitch is a Glitch
Action," [Jake is looking at the hexagons of code for a spider and a snake. The scene goes back to Ooo, where a snake and giant spider are seen facing each other. Back at the source code, Jake grabs the snake hexagon and connects it to the spider hexagon. In Ooo, it is shown the snake and the spider had been conjoined, creating a hybrid.]",A Glitch is a Glitch
Finn,  Jake! Don't touch anything!,A Glitch is a Glitch
Jake,  Huh?,A Glitch is a Glitch
Finn,"  I think the shiny things are the building blocks of the universe, man! They store every single thing that is a thing back on thing!",A Glitch is a Glitch
Jake,"  Okay, enough exploring already. Where is this glitch guy? I'm gonna smash his jimmies. [Looks to the front and cringes in fear]",A Glitch is a Glitch
Finn,"  Jake, what is it?",A Glitch is a Glitch
Action," [Jake curls up into a ball in fear and points to a glitch monster with Ice King's face. The glitch grabs the hexagon of a chair and eats it. Back in the Candy Kingdom, Princess Bubblegum is in her castle loading her candy gun when her chair and her other things start disappearing and she falls down.]",A Glitch is a Glitch
Ice King,"  Oh, Princess Bubblegum? Guess who? Can you guess? Can you? I'll give you 3 chances.",A Glitch is a Glitch
Princess Bubblegum,  No.,A Glitch is a Glitch
Ice King,"  OK, four chances. [Imitates rimshot]",A Glitch is a Glitch
Princess Bubblegum,"  [Stands up] Ice King, give me the anti-virus, or I'll shoot you with my candy horse tranquilizer!",A Glitch is a Glitch
Ice King,"  But sugar, look what I brought you! A box of chocos! [Eats a chocolate] Hm... Still good. [Box disappears] Argh. Look, I can't prove it, but... [Bubblegum shoots him.] ...you made a promise we'd have at least one date if... [PB shots him twice, and he starts speaking slowly.] ...if I was the last person on Ooo... [Ice King is shot several times in the face.] You promised... [The tranquilizer darts disappears and so does the gun, making Ice King healthy again.]",A Glitch is a Glitch
Princess Bubblegum,"  Okay, well, even if I did promised, you're not the last person on Ooo, because I'm still here. [PB starts kissing her left palm.]",A Glitch is a Glitch
Ice King,"  Well, uh... Ooh, I-I have a hand too, y'know? I can lend you one... [Ice King starts shaking his hand and a gross closeup of it is shown.] Check out my cool hand! [The camera zooms in on Ice King's ugly hand.]",A Glitch is a Glitch
Princess Bubblegum,"  Oh, that's disgusting.",A Glitch is a Glitch
Ice King,  Grrrr!!!,A Glitch is a Glitch
Action, [Scene changes to Finn grabbing Jake by his arm in the source code.],A Glitch is a Glitch
Finn,"  Come on, Jake, pull it together, man.",A Glitch is a Glitch
Action, [The glitch grabs a piece from Jake's coding which happens to be his right arm. Finn is shown with a realistic face and notices Jake's arm had unattached from his body.],A Glitch is a Glitch
Finn,  Jake?,A Glitch is a Glitch
Jake,"  Oh, no, my arm! [grabs arm.] We had so many great times together...",A Glitch is a Glitch
Action," [A flashback of Jake ""flying"" his arm as if it was a kite is shown.]",A Glitch is a Glitch
Jake,"  Dooby, dooby, dooby, dooby, skeebily, skeebily, dapdy doo...",A Glitch is a Glitch
Action, [Flashback changes to Jake in a bathroom with his arm tapping on his left shoulder behind his back.],A Glitch is a Glitch
Jake,  Huh? Who's that? [Sees it was Righty] Awww.,A Glitch is a Glitch
Action," [Flashback changes to Jake lifting proudly a portrait of he with his right arm, and then the flashback ends]",A Glitch is a Glitch
Jake,  [confidently] Let's do this... for Righty!,A Glitch is a Glitch
Finn,"  That's the spirit! [Grabs sword.] ADVENTURE TI--!!! [Finn's legs starts fading.] Oh, my gams!! Hold up, dude, my body's changing! ",A Glitch is a Glitch
Action," [Scene changes to Ooo, almost completely deserted. Princess Bubblegum is still making out with her hand, while a sad Ice King is building ice statues of himself.]",A Glitch is a Glitch
Princess Bubblegum,"  [Kisses her hand several times, and then licks it, after that, she pushes it away.] ...No. [Continues kissing the hand.]",A Glitch is a Glitch
Ice King,"  Oh, come on, woman, I'm trying to be nice! Can't you at least make the best out of this? [PB walks to Ice King and kneels in front of him.] Are you praying to me? I'm into this. [Bubblegum lifts his tunic, covering his head as if it were a bag.] ...I'm still into this. [The princess pushes him, making him to fall down.] Still into it.",A Glitch is a Glitch
Princess Bubblegum,  [Stomping Ice King's head.] GIVE ME THE ANTI-VIRUS!,A Glitch is a Glitch
Ice King,"  I can't, monkey peeps, I didn't make one! The glitch will delete everything until we're all that's last!",A Glitch is a Glitch
Princess Bubblegum,"  You mean, forever?!",A Glitch is a Glitch
Ice King,"  Well, yeah! I mean, you say that like it's a bad thing.",A Glitch is a Glitch
Princess Bubblegum,"  Come on, Finn and Jake....",A Glitch is a Glitch
Action," [Scene changes to Finn and Jake in the source code. Jake is stretched as a giant floating worm and Finn is only a head, with his sword in his mouth.]",A Glitch is a Glitch
Jake,"  So, hey, Finn, how do you plan on taking this guy out?",A Glitch is a Glitch
Finn,  [voice is muffled by the sword],A Glitch is a Glitch
Jake,"  Okay, I guess it's worth trying.",A Glitch is a Glitch
Action," [A ""One Second Later"" transition is shown, which lasts exactly 20 seconds. After that, Finn and Jake get close to the glitch. Jake launches Finn with his tail, and Finn's sword cuts make a teeth-like formation that eats his sword. Jake goes back to normal, showing that he's also only a head now. The screen is shown to be glitchy, with lots of lag effects.]",A Glitch is a Glitch
Jake,  Aah! What we do now?,A Glitch is a Glitch
Finn,  We gotta get those things... outta his stomach.,A Glitch is a Glitch
Action, [A glitchy image of the gross video of the girl is shown in the background.],A Glitch is a Glitch
Jake,"  Hey, Finn! Remember that gross video Ice King sent?",A Glitch is a Glitch
Finn,"  [disgusted] Ugh, yeah. [confidently] Yeah!!",A Glitch is a Glitch
Action," [Jake floats to Finn's hat and takes it away with his mouth, showing his enormous hair. Finn bites a bit of hair.]",A Glitch is a Glitch
Jake,"  Let's double team these locks! [Bites Finn's hair and starts swallowing it along with Finn. The glitch gets more glitchy. As the glitch roars and starts coughing, it pukes out all of the things it ate from the universal source code. Weird, random stuff starts to happen, it loads and the land of Ooo starts reloading with the candy people. By a pond, Finn and Jake come back still biting Finn's hair.]",A Glitch is a Glitch
Finn and Jake,  We did it! [They high-five and start coughing.],A Glitch is a Glitch
Jake,  You should wash your hair!,A Glitch is a Glitch
Finn,  You should wash your mouth! [They start walking as Ice King is seeing the land of Ooo reloading.],A Glitch is a Glitch
Ice King,"  Huh? No way! Impossible! [Makes noises and when he moves, the house he was in reloads. His head was already outside of the house, so his head gets stuck in the wall.] Uh...",A Glitch is a Glitch
Jake,"  Everything back to normal, huh? ",A Glitch is a Glitch
Finn,  Seems like it. ,A Glitch is a Glitch
Donut Guy,"  [running] Aah! My face!! My beautiful face is back to normal!!! Aaah!!!! [Runs around Finn and Jake, Finn stops him.]",A Glitch is a Glitch
Finn,"  Hey, have you seen the princess anywhere?",A Glitch is a Glitch
Donut Guy,"  Yes, she's in the Ice King's castle. AUGGH! [Starts running again.]",A Glitch is a Glitch
Princess Bubblegum,  [Destroying Ice King's holographic computer with a baseball bat] Useless-- [Hits it with the baseball bat.] Ugh! --computer!  You sassa-frassin-- Nu!! --hammer-slammin-- Ruh! --wamma-jammin... [Stomps on the computer.] Ugh! [elbow drops on it as the table collapses.] Ugh! [Hits the computer twice.] Ah-ya-ya-ya-ya! [Hits it hard. She sees Finn and Jake.] Finn and Jake! [Throws the baseball bat away.] My heroes! [Picks them up and hugs them.],A Glitch is a Glitch
Jake,"  Yeah, no big deal. Geez... [PB and Jake make faces on their hand and elbow.]",A Glitch is a Glitch
Princess Bubblegum's hand,  I missed you!,A Glitch is a Glitch
Jake's elbow,"  I missed you, too! [They kiss.] Whoa, you taste different, baby! You been playin' basketball in someone else's hockey rink?",A Glitch is a Glitch
Finn,"  Ahem... Hey, Bubs, where's the Ice King? I wanna kick his boingloings! ",A Glitch is a Glitch
Jake,"  Yeah. Where is he? I wanna kick his boingloings, too!",A Glitch is a Glitch
Ice King,"  Uh... guys? Hello? Princess. Uh... Let's forget all about this... [the snake-spider hybrid wanders onscreen and bites Ice King several times.] Ugh get off of me, you creep! Ow ow ow ow ow ow ow ow ow ow ow ow ow ow ow ow ow ow!",A Glitch is a Glitch
Action, [The episode starts with a quick scene outside the Tree Fort where a Knife storm is going on.],Puhoy
Jake,"  [shaped like a tractor, backing up] Beep beep! Look out! Beep beep! Pillow delivery! Look out buddy! [He drops the pillows on Finn.]",Puhoy
Finn,  Uuf! [BMO falls on his head and CMO falls on BMO's head.],Puhoy
BMO,  Uuf!,Puhoy
Finn,"  Come on, Jake...",Puhoy
Jake,"  Sorry buddy, [changes into his normal form] just trying to cheer you up some. I mean here you are chillin' out with history's coolest friends, building an actual pillow fort, but you just sit there sulking--I mean, what gives!?",Puhoy
Finn,  [sigh] I guess I'm just thinking about Flame Princess. I told her a joke the other day and she didn't even laugh or anything. I guess it's over between us.,Puhoy
Jake,  That's it?! A joke?,Puhoy
BMO,  Maybe she just didn't get it yet.,Puhoy
Finn,"  Yeah right, BMO. More like she used up all her laughs on some other guy's jokes probably. Man, having a girlfriend is hard.",Puhoy
Jake,"  No! Being crazy is hard. You're getting all hung up, all hung up on imaginary problems. You gotta focus on what's real, man. [Grabs a cup.] You see this cup? This is literally my favorite cup. [He throws it through the window, shattering the window.] Now it's gone forever. So it's not real, and I don't care about it anymore.",Puhoy
BMO,  [gasp] Oh no! My favorite window!,Puhoy
Finn,"  I don't even know what you guys are talking about. I think I just need some alone time. [Grabs his cup and sword.] Gotta let my mind fester a bit, you know? I'll be back in a little while. [Finn enters the pillow fort.]",Puhoy
Jake,"  [Jake shouts this as Finn is getting further and further inside the pillow fort.] Finn! Festering is always bad, man! There's no good kind of festering! Finn!",Puhoy
Finn,"  Man, this looked smaller from the outside. What's this now? What the?! Jake, what's in here?! Jake?",Puhoy
Action, [Finn comes out from a small door... and into a new realm Pillow World.],Puhoy
Finn,"  Oh, whoa! [birds chirping] Did Jake build this part too? That guy needs some more girlfriends or something.",Puhoy
